salary,player_position,race,team_payroll,years_played,games_played,career_at_bats,career_runs,career_hits,career_doubles,career_triples,career_homeruns,career_runs_batted_in,career_batting_average,career_walks,career_strike_outs,career_stolen_bases,career_fielding_percent,white_percent_in_city,black_percent_in_city,hispanic_percent_in_city
1050000,outfield,white,27037334,7,904,3135,402,772,154,15,146,470,246,280,979,29,964,77.39441,18.75563,3.849964
1000000,firstbase,black,27037334,5,500,1697,207,477,98,7,41,245,281,62,233,10,993,77.39441,18.75563,3.849964
600000,outfield,white,27037334,9,698,2144,251,594,121,23,25,237,277,150,228,67,987,77.39441,18.75563,3.849964
600000,thirdbase,white,27037334,3,284,851,136,224,38,6,38,129,263,103,164,10,950,77.39441,18.75563,3.849964
300000,secondbase,white,27037334,3,250,826,94,212,23,12,5,53,257,60,128,24,988,77.39441,18.75563,3.849964
250000,outfield,black,27037334,3,195,704,86,176,37,3,24,95,250,42,137,17,978,77.39441,18.75563,3.849964
150000,shortstop,hispanic,27037334,4,159,362,41,66,12,3,2,23,182,26,82,6,972,77.39441,18.75563,3.849964
122500,shortstop,black,27037334,2,54,163,11,34,4,0,1,11,209,5,26,0,930,77.39441,18.75563,3.849964
4950000,outfield,white,22987668,10,1390,4737,720,1308,251,82,144,688,276,558,895,220,986,91.41706,8.007545,0.5753924
2600000,shortstop,white,22987668,7,669,2444,349,627,125,26,39,239,257,222,445,38,968,91.41706,8.007545,0.5753924
2350000,catcher,white,22987668,9,736,2134,166,574,97,5,16,243,269,288,200,5,992,91.41706,8.007545,0.5753924
1066667,catcher,white,22987668,11,1004,3071,320,859,193,26,59,351,280,219,438,16,985,91.41706,8.007545,0.5753924
1000000,outfield,black,22987668,15,1475,4888,853,1414,264,54,90,504,289,561,779,360,964,91.41706,8.007545,0.5753924
675000,thirdbase,white,22987668,4,365,1175,149,270,52,7,37,155,230,82,155,14,975,91.41706,8.007545,0.5753924
675000,outfield,black,22987668,6,431,931,120,232,39,2,29,123,249,116,137,15,983,91.41706,8.007545,0.5753924
360000,shortstop,white,22987668,10,952,2367,215,578,114,19,26,224,244,206,339,31,976,91.41706,8.007545,0.5753924
305000,firstbase,hispanic,22987668,3,279,840,136,218,46,7,16,110,260,117,153,13,991,91.41706,8.007545,0.5753924
120000,shortstop,hispanic,22987668,3,38,67,7,16,1,2,0,5,239,1,19,0,969,91.41706,8.007545,0.5753924
112000,thirdbase,white,22987668,2,92,229,26,58,13,0,0,11,253,19,39,6,961,91.41706,8.007545,0.5753924
109000,outfield,black,22987668,1,12,12,1,2,0,1,0,2,167,0,5,0,1000,91.41706,8.007545,0.5753924
109000,thirdbase,black,22987668,1,10,7,2,4,0,0,0,4,571,2,0,1,800,91.41706,8.007545,0.5753924
3897184,shortstop,black,23387518,15,2208,8087,1079,2108,347,57,22,681,261,949,524,542,979,81.55022,17.38131,1.06847
2650000,thirdbase,white,23387518,6,617,2317,312,644,132,12,52,280,278,183,163,82,964,81.55022,17.38131,1.06847
2575000,catcher,white,23387518,6,508,1487,119,379,77,8,13,151,255,99,228,13,993,81.55022,17.38131,1.06847
2050000,secondbase,hispanic,23387518,9,1001,2780,288,726,94,19,12,224,261,380,331,33,983,81.55022,17.38131,1.06847
1025000,thirdbase,white,23387518,4,453,1581,196,413,82,11,34,194,261,206,255,26,966,81.55022,17.38131,1.06847
966667,firstbase,black,23387518,10,972,2890,346,761,134,11,52,357,263,289,327,140,987,81.55022,17.38131,1.06847
508333,outfield,black,23387518,3,297,1003,131,252,38,12,20,95,251,139,259,34,979,81.55022,17.38131,1.06847
290000,outfield,black,23387518,3,343,1290,182,353,73,22,32,167,274,126,288,94,990,81.55022,17.38131,1.06847
225000,catcher,hispanic,23387518,3,174,418,46,101,20,2,22,63,242,36,81,1,983,81.55022,17.38131,1.06847
175000,outfield,black,23387518,3,230,716,95,193,31,8,13,66,270,86,90,38,982,81.55022,17.38131,1.06847
170000,secondbase,hispanic,23387518,3,184,433,74,118,22,4,12,50,273,46,96,29,981,81.55022,17.38131,1.06847
160000,secondbase,hispanic,23387518,3,234,630,51,141,22,15,3,56,224,60,91,3,976,81.55022,17.38131,1.06847
3700000,outfield,black,37792000,6,701,2586,402,670,131,23,111,363,259,233,483,131,967,20.2963,73.96003,5.743671
2815000,outfield,black,37792000,10,869,1996,381,513,53,10,6,123,257,208,264,305,987,20.2963,73.96003,5.743671
2250000,thirdbase,black,37792000,9,1240,4659,596,1274,228,33,87,633,273,332,567,114,958,20.2963,73.96003,5.743671
2000000,shortstop,white,37792000,6,578,1769,237,464,90,15,49,207,262,194,357,25,959,20.2963,73.96003,5.743671
1775000,outfield,black,37792000,4,396,1370,228,369,70,8,71,240,269,215,267,23,976,20.2963,73.96003,5.743671
1600000,firstbase,white,37792000,10,925,2770,311,726,172,11,81,413,262,306,398,43,991,20.2963,73.96003,5.743671
1000000,outfield,black,37792000,4,222,593,101,145,11,18,17,57,245,46,110,46,974,20.2963,73.96003,5.743671
975000,catcher,white,37792000,6,379,1191,98,281,60,2,28,146,236,69,238,3,985,20.2963,73.96003,5.743671
925000,catcher,white,37792000,4,331,1013,109,250,51,3,16,107,247,108,130,4,994,20.2963,73.96003,5.743671
800000,shortstop,hispanic,37792000,11,777,1689,171,377,31,12,1,113,223,121,274,34,973,20.2963,73.96003,5.743671
675000,thirdbase,white,37792000,7,562,1353,195,336,65,10,20,127,248,142,195,50,979,20.2963,73.96003,5.743671
550000,secondbase,white,37792000,5,423,1048,108,237,37,7,10,82,226,109,100,1,982,20.2963,73.96003,5.743671
205000,firstbase,white,37792000,2,199,509,66,125,29,3,26,91,246,38,98,1,991,20.2963,73.96003,5.743671
181500,catcher,hispanic,37792000,4,126,268,24,69,14,1,13,51,257,13,48,2,985,20.2963,73.96003,5.743671
5700000,shortstop,black,42668168,7,835,3122,478,924,150,30,70,368,296,273,291,148,973,87.74488,11.71425,0.5408698
3900000,outfield,black,42668168,6,636,2091,378,626,103,22,20,158,299,218,266,151,972,87.74488,11.71425,0.5408698
3750000,outfield,black,42668168,8,900,3109,469,859,162,20,171,548,276,352,542,26,963,87.74488,11.71425,0.5408698
3133333,outfield,black,42668168,6,638,2277,320,637,110,12,56,258,280,168,1440,151,984,87.74488,11.71425,0.5408698
3100000,thirdbase,white,42668168,5,616,2335,342,637,153,11,80,275,273,189,276,108,962,87.74488,11.71425,0.5408698
1275000,firstbase,white,42668168,5,388,1220,166,371,76,7,27,152,304,113,159,25,995,87.74488,11.71425,0.5408698
1200000,catcher,white,42668168,4,407,1269,110,314,67,1,32,173,247,96,231,3,989,87.74488,11.71425,0.5408698
700000,outfield,hispanic,42668168,10,1310,5146,718,1338,243,85,128,574,260,346,1208,349,973,87.74488,11.71425,0.5408698
475000,firstbase,black,42668168,6,554,1755,258,450,86,9,62,236,256,373,357,16,992,87.74488,11.71425,0.5408698
400000,outfield,white,42668168,5,355,557,71,135,28,7,8,57,242,35,91,24,969,87.74488,11.71425,0.5408698
200000,outfield,black,42668168,2,125,425,68,112,26,6,13,39,264,48,107,17,980,87.74488,11.71425,0.5408698
120000,outfield,hispanic,42668168,1,34,51,6,14,4,0,0,4,275,0,10,3,952,87.74488,11.71425,0.5408698
1200000,thirdbase,black,8854000,5,530,1845,168,461,77,4,48,219,250,83,319,13,953,83.11581,5.094885,11.7893
725000,outfield,white,8854000,5,424,1365,144,347,69,6,38,176,254,60,291,40,979,83.11581,5.094885,11.7893
690000,outfield,black,8854000,5,340,1022,88,242,45,7,28,126,237,61,224,5,991,83.11581,5.094885,11.7893
670000,catcher,white,8854000,4,304,893,73,234,39,3,3,70,262,53,120,10,985,83.11581,5.094885,11.7893
600000,firstbase,hispanic,8854000,8,942,3407,432,909,182,16,116,472,267,235,859,59,992,83.11581,5.094885,11.7893
550000,outfield,black,8854000,9,882,2261,321,565,114,21,65,224,250,205,392,97,976,83.11581,5.094885,11.7893
350000,outfield,black,8854000,3,290,916,145,259,26,14,0,49,283,114,152,83,971,83.11581,5.094885,11.7893
310000,outfield,black,8854000,6,605,1755,249,432,55,17,3,109,246,220,204,153,992,83.11581,5.094885,11.7893
225000,outfield,white,8854000,17,2154,7918,196,2105,349,39,398,1259,266,981,1733,161,982,83.11581,5.094885,11.7893
167500,shortstop,hispanic,8854000,2,98,236,25,58,11,1,1,20,246,11,49,1,974,83.11581,5.094885,11.7893
120000,shortstop,hispanic,8854000,2,21,21,2,5,1,0,0,1,238,1,6,0,963,83.11581,5.094885,11.7893
3150000,outfield,white,28970500,6,694,2492,271,639,121,11,44,295,256,206,405,27,952,63.55827,16.86582,19.57592
3050000,secondbase,white,28970500,5,645,2280,306,624,106,12,30,192,274,256,338,109,987,63.55827,16.86582,19.57592
2900000,outfield,white,28970500,4,544,1884,249,520,78,29,18,171,276,147,211,117,986,63.55827,16.86582,19.57592
775000,shortstop,white,28970500,6,641,1743,175,435,75,20,9,124,250,149,187,34,981,63.55827,16.86582,19.57592
655000,firstbase,white,28970500,2,318,1140,166,323,60,10,33,178,283,159,213,17,993,63.55827,16.86582,19.57592
500000,outfield,black,28970500,11,1267,4112,509,1108,203,39,104,507,269,279,566,134,982,63.55827,16.86582,19.57592
500000,outfield,white,28970500,7,779,2665,283,694,122,19,72,333,260,148,398,24,982,63.55827,16.86582,19.57592
400000,shortstop,hispanic,28970500,9,993,3011,303,725,98,34,19,216,241,248,420,69,970,63.55827,16.86582,19.57592
350000,outfield,black,28970500,4,285,858,89,180,31,1,34,123,210,88,233,11,976,63.55827,16.86582,19.57592
325000,outfield,hispanic,28970500,3,271,881,92,218,49,12,23,124,247,66,158,17,988,63.55827,16.86582,19.57592
162500,catcher,white,28970500,2,130,363,28,82,17,1,5,36,226,36,94,2,990,63.55827,16.86582,19.57592
156500,catcher,white,28970500,2,93,242,12,55,12,0,0,21,227,15,33,0,994,63.55827,16.86582,19.57592
135000,shortstop,hispanic,28970500,3,145,479,42,99,26,4,11,49,207,23,150,6,944,63.55827,16.86582,19.57592
130000,thirdbase,white,28970500,2,82,210,15,41,6,0,0,11,195,31,44,2,975,63.55827,16.86582,19.57592
3800000,outfield,black,36217500,10,1291,4564,768,1196,217,34,285,857,262,674,1119,204,979,60.97563,7.98687,31.0375
3362500,thirdbase,white,36217500,13,1767,6529,737,1694,360,31,204,905,259,514,1007,50,964,60.97563,7.98687,31.0375
3333333,outfield,white,36217500,12,1678,6169,1048,1777,216,99,44,439,288,857,673,437,992,60.97563,7.98687,31.0375
2500000,secondbase,white,36217500,6,715,2658,361,743,180,7,17,227,280,319,227,23,979,60.97563,7.98687,31.0375
1500000,outfield,white,36217500,7,852,2987,360,729,139,12,132,414,244,165,798,23,978,60.97563,7.98687,31.0375
1000000,outfield,black,36217500,9,932,3124,575,828,127,19,182,564,265,460,824,266,984,60.97563,7.98687,31.0375
970000,secondbase,black,36217500,6,477,106,135,313,56,5,8,111,283,133,135,20,966,60.97563,7.98687,31.0375
900000,secondbase,black,36217500,5,548,1585,191,443,54,6,8,131,279,115,124,64,954,60.97563,7.98687,31.0375
600000,outfield,white,36217500,10,1041,3107,456,825,139,52,63,313,266,302,527,155,980,60.97563,7.98687,31.0375
435000,firstbase,white,36217500,2,163,559,63,141,31,1,20,89,252,38,109,2,993,60.97563,7.98687,31.0375
300000,shortstop,hispanic,36217500,3,230,705,84,170,22,8,2,40,241,86,144,27,938,60.97563,7.98687,31.0375
175000,catcher,hispanic,36217500,3,94,207,14,52,6,0,3,19,251,11,28,1,980,60.97563,7.98687,31.0375
126000,catcher,white,36217500,1,21,69,5,16,3,0,1,7,232,4,12,0,990,60.97563,7.98687,31.0375
4250000,firstbase,black,24557332,7,883,3003,511,839,148,13,191,515,279,553,737,33,992,73.64294,6.266109,20.09096
4083333,outfield,black,24557332,11,1463,5701,842,1864,278,78,59,591,327,506,291,249,986,73.64294,6.266109,20.09096
3110000,thirdbase,black,24557332,5,440,1667,225,471,95,6,54,233,283,145,136,48,949,73.64294,6.266109,20.09096
1750000,secondbase,white,24557332,7,873,2866,339,716,141,28,32,292,250,249,411,32,962,73.64294,6.266109,20.09096
762500,secondbase,white,24557332,10,977,2912,389,739,174,10,79,348,254,360,492,21,979,73.64294,6.266109,20.09096
300000,catcher,white,24557332,13,1441,4373,398,1131,198,12,68,446,259,567,307,29,988,73.64294,6.266109,20.09096
245000,outfield,white,24557332,3,175,512,74,137,27,1,18,68,268,71,127,3,975,73.64294,6.266109,20.09096
165000,outfield,black,24557332,2,79,189,28,43,6,3,2,16,228,21,39,10,984,73.64294,6.266109,20.09096
149000,shortstop,white,24557332,5,131,265,22,64,11,0,1,19,242,6,47,1,958,73.64294,6.266109,20.09096
109000,firstbase,hispanic,24557332,1,15,23,1,7,0,0,1,5,304,1,7,0,941,73.64294,6.266109,20.09096
4750000,firstbase,white,34136500,7,1028,3778,605,1139,222,35,162,636,301,443,676,50,993,74.61965,9.049699,16.33065
4416667,outfield,black,34136500,7,1010,3584,672,984,220,36,176,556,275,611,590,251,985,74.61965,9.049699,16.33065
2312500,outfield,black,34136500,11,1462,5669,773,1689,257,83,57,639,298,315,878,307,977,74.61965,9.049699,16.33065
2250000,thirdbase,white,34136500,6,682,2428,293,586,97,16,121,376,241,143,556,24,960,74.61965,9.049699,16.33065
1900000,secondbase,white,34136500,7,983,3426,487,883,174,34,85,342,258,313,713,87,981,74.61965,9.049699,16.33065
1100000,outfield,hispanic,34136500,7,836,2555,329,688,99,37,39,228,269,214,425,107,981,74.61965,9.049699,16.33065
735000,catcher,white,34136500,6,315,863,66,199,30,8,5,79,231,51,117,5,988,74.61965,9.049699,16.33065
500000,firstbase,white,34136500,6,722,2341,257,593,115,14,50,317,253,149,1430,19,994,74.61965,9.049699,16.33065
325000,catcher,white,34136500,9,540,1425,103,332,63,6,13,19,233,140,203,2,988,74.61965,9.049699,16.33065
300000,outfield,white,34136500,6,373,932,107,240,37,1,31,106,258,64,131,8,980,74.61965,9.049699,16.33065
172500,outfield,white,34136500,3,197,577,83,137,13,4,2,34,237,72,80,43,1000,74.61965,9.049699,16.33065
155000,shortstop,black,34136500,2,107,347,31,75,8,4,4,26,216,27,69,8,968,74.61965,9.049699,16.33065
5359973,shortstop,white,26958972,12,1800,6942,1043,1922,369,34,273,1014,277,752,797,32,978,72.56567,26.15394,1.280389
3800000,firstbase,white,26958972,9,985,3606,502,945,174,13,189,594,262,363,584,28,992,72.56567,26.15394,1.280389
3025000,outfield,black,26958972,6,584,2116,272,547,92,25,63,267,259,160,337,64,988,72.56567,26.15394,1.280389
1855000,outfield,white,26958972,5,549,1704,239,406,70,21,31,168,238,233,308,106,983,72.56567,26.15394,1.280389
1650000,secondbase,black,26958972,10,1155,4090,543,1063,200,48,17,295,260,391,352,228,978,72.56567,26.15394,1.280389
1100000,outfield,black,26958972,13,1844,6744,865,1930,334,46,241,1066,286,647,1017,30,978,72.56567,26.15394,1.280389
350000,catcher,white,26958972,4,232,723,92,181,29,1,32,78,250,90,136,0,996,72.56567,26.15394,1.280389
312500,thirdbase,hispanic,26958972,3,267,898,105,224,41,2,33,110,249,111,167,3,957,72.56567,26.15394,1.280389
300000,secondbase,white,26958972,7,402,1122,163,257,37,8,5,102,229,112,172,56,974,72.56567,26.15394,1.280389
237500,firstbase,white,26958972,3,241,524,50,133,23,0,5,54,254,43,57,2,993,72.56567,26.15394,1.280389
197500,outfield,hispanic,26958972,2,150,414,58,111,22,2,18,58,268,42,98,1,978,72.56567,26.15394,1.280389
120000,outfield,hispanic,26958972,2,42,104,17,18,4,0,0,6,173,12,18,0,969,72.56567,26.15394,1.280389
4875000,outfield,black,37226584,17,2310,8890,1259,2504,444,94,399,1425,282,588,1313,310,984,89.56021,5.773694,4.666095
3325000,outfield,white,37226584,8,831,2980,418,912,167,26,84,489,306,312,230,60,979,89.56021,5.773694,4.666095
3000000,outfield,black,37226584,9,842,3073,444,851,190,23,103,422,277,285,523,93,975,89.56021,5.773694,4.666095
2200000,catcher,hispanic,37226584,13,1624,5550,584,1481,256,26,95,614,267,382,704,78,990,89.56021,5.773694,4.666095
1075000,shortstop,hispanic,37226584,7,638,1940,209,452,100,9,24,187,233,148,370,18,961,89.56021,5.773694,4.666095
750000,outfield,black,37226584,9,1004,3521,474,926,171,25,42,311,263,221,401,196,985,89.56021,5.773694,4.666095
700000,catcher,white,37226584,8,595,1746,159,410,78,6,31,185,235,90,345,4,992,89.56021,5.773694,4.666095
675000,secondbase,white,37226584,12,1361,4411,557,1155,193,31,25,437,262,442,465,74,978,89.56021,5.773694,4.666095
400000,shortstop,black,37226584,8,825,2361,294,610,84,20,43,264,258,224,369,19,963,89.56021,5.773694,4.666095
340000,firstbase,hispanic,37226584,4,337,1073,132,306,54,1,18,146,285,122,155,2,989,89.56021,5.773694,4.666095
270000,firstbase,black,37226584,2,187,574,63,140,28,2,17,89,244,73,110,5,983,89.56021,5.773694,4.666095
240000,firstbase,white,37226584,3,139,373,40,109,25,2,5,40,292,39,36,1,983,89.56021,5.773694,4.666095
222000,outfield,white,37226584,2,142,417,49,112,19,1,4,46,269,26,66,2,971,89.56021,5.773694,4.666095
200000,secondbase,white,37226584,3,116,326,23,72,15,0,5,29,221,32,61,0,967,89.56021,5.773694,4.666095
135000,shortstop,white,37226584,1,58,185,21,51,13,0,5,25,276,20,17,1,963,89.56021,5.773694,4.666095
1600000,outfield,black,15589667,4,347,1287,164,335,62,7,70,247,260,90,288,13,963,82.04247,16.03466,1.922861
1300000,catcher,black,15589667,5,280,948,93,248,52,2,12,105,262,49,106,7,988,82.04247,16.03466,1.922861
1200000,secondbase,hispanic,15589667,3,427,1562,218,457,77,5,38,221,293,99,207,13,965,82.04247,16.03466,1.922861
975000,outfield,black,15589667,4,277,902,118,221,35,6,39,113,245,64,201,25,971,82.04247,16.03466,1.922861
950000,shortstop,hispanic,15589667,6,578,1692,169,431,42,9,1,111,255,123,105,17,972,82.04247,16.03466,1.922861
750000,catcher,white,15589667,9,564,1441,119,329,62,3,17,136,228,80,387,3,988,82.04247,16.03466,1.922861
500000,firstbase,hispanic,15589667,5,359,1162,112,308,52,6,19,121,265,48,173,9,975,82.04247,16.03466,1.922861
425000,outfield,black,15589667,2,168,650,105,179,16,8,5,42,275,73,73,68,981,82.04247,16.03466,1.922861
400000,shortstop,hispanic,15589667,7,517,1523,142,387,61,5,7,104,254,48,190,8,970,82.04247,16.03466,1.922861
350000,firstbase,white,15589667,4,221,647,71,165,30,2,27,87,255,72,135,1,993,82.04247,16.03466,1.922861
335000,catcher,hispanic,15589667,11,625,1569,120,408,56,4,5,157,260,105,185,7,985,82.04247,16.03466,1.922861
325000,outfield,black,15589667,3,248,686,71,182,29,5,6,54,265,41,128,25,990,82.04247,16.03466,1.922861
300000,secondbase,white,15589667,6,555,1764,199,495,84,12,26,163,281,116,151,12,976,82.04247,16.03466,1.922861
142500,firstbase,black,15589667,2,55,197,19,51,9,2,4,19,259,5,41,0,993,82.04247,16.03466,1.922861
4200000,firstbase,black,35948168,7,696,2297,353,590,91,3,161,473,257,287,628,0,990,76.99908,21.03883,1.96208
3866667,outfield,black,35948168,11,1292,4331,652,1120,190,37,68,450,259,634,762,97,967,76.99908,21.03883,1.96208
3433333,secondbase,black,35948168,16,2095,7616,1211,2088,353,62,209,930,274,1047,965,134,984,76.99908,21.03883,1.96208
3333333,catcher,white,35948168,9,932,2873,416,693,121,8,137,406,241,538,811,18,990,76.99908,21.03883,1.96208
2066667,outfield,white,35948168,9,1002,3365,503,746,128,12,205,536,222,503,1210,38,978,76.99908,21.03883,1.96208
1400000,shortstop,white,35948168,16,1965,7179,1077,2050,356,51,162,876,286,759,755,212,977,76.99908,21.03883,1.96208
1150000,outfield,white,35948168,10,1106,4145,611,1120,187,38,61,390,270,316,575,214,984,76.99908,21.03883,1.96208
650000,shortstop,white,35948168,3,379,1448,184,388,78,8,50,214,268,102,344,23,960,76.99908,21.03883,1.96208
500000,outfield,white,35948168,14,1351,4838,815,1298,216,44,210,701,268,599,1068,256,975,76.99908,21.03883,1.96208
425000,outfield,black,35948168,6,325,678,96,166,23,4,2,48,245,49,154,53,973,76.99908,21.03883,1.96208
275000,outfield,black,35948168,3,262,817,124,205,29,9,6,69,251,67,164,50,984,76.99908,21.03883,1.96208
250000,thirdbase,black,35948168,7,245,433,67,108,22,3,11,52,249,30,53,15,969,76.99908,21.03883,1.96208
240000,catcher,white,35948168,5,195,425,43,87,15,1,8,32,205,62,101,0,988,76.99908,21.03883,1.96208
230000,thirdbase,white,35948168,2,161,481,62,137,26,0,6,57,285,31,61,3,967,76.99908,21.03883,1.96208
2700000,outfield,white,22840832,19,2729,10554,1570,3025,558,123,243,1355,287,922,1257,262,971,82.94886,13.3033,3.747845
2500000,catcher,white,22840832,6,797,2783,314,745,119,16,32,350,268,205,219,83,988,82.94886,13.3033,3.747845
1640000,outfield,black,22840832,4,444,1538,227,360,71,9,72,260,234,167,362,28,984,82.94886,13.3033,3.747845
1333333,secondbase,white,22840832,11,1425,5071,720,1353,216,39,84,491,267,703,597,208,983,82.94886,13.3033,3.747845
1100000,outfield,white,22840832,12,1656,5860,760,1454,287,29,255,856,248,721,1070,66,984,82.94886,13.3033,3.747845
1000000,outfield,black,22840832,4,383,1134,172,331,43,13,8,148,292,99,101,74,997,82.94886,13.3033,3.747845
750000,shortstop,white,22840832,4,371,1138,161,298,398,12,14,125,262,72,168,36,968,82.94886,13.3033,3.747845
725000,outfield,white,22840832,5,363,1018,109,267,63,3,39,144,262,84,225,2,945,82.94886,13.3033,3.747845
350000,shortstop,white,22840832,1,149,579,93,168,19,6,1,47,290,55,124,54,966,82.94886,13.3033,3.747845
250000,shortstop,white,22840832,14,1302,4204,473,1110,183,41,70,402,264,326,619,161,964,82.94886,13.3033,3.747845
120000,catcher,white,22840832,1,51,164,15,38,8,0,4,25,232,17,18,2,992,82.94886,13.3033,3.747845
118000,firstbase,white,22840832,1,47,133,17,30,3,1,2,10,226,12,30,10,1000,82.94886,13.3033,3.747845
110000,outfield,hispanic,22840832,1,22,9,5,1,0,0,0,1,111,0,0,3,1000,82.94886,13.3033,3.747845
